location,crop,rainfall,temperature,humidity,ph,N,P,K,suitability_score,irrigation_score,irrigation_level,timestamp
location_1,rice,142.32805620144742,38.02217711887478,32.89000300910915,7.224462091547058,63.292681863075835,56.793242236196576,85.83192053907833,0.6700344510419929,73.92465198806286,Medium,2025-12-30T09:09:45.419179
location_1,maize,249.5775959972331,32.05418778335191,83.49943389491771,5.930073906338102,72.68813295723045,57.250016368857246,96.52945011549083,0.5390401145173225,59.61553625348835,Low,2025-12-30T09:09:45.419179
location_1,wheat,57.570732752929146,16.606451554358326,39.36966454752768,6.550409844859211,49.13672653045143,50.33571706614796,54.14452264232338,0.8047826372141329,76.81995853304224,Medium,2025-12-30T09:09:45.419179
location_1,cotton,67.5859983305566,32.227582828916795,83.26786992760039,6.912686282004956,46.73163741654139,37.34559069937543,70.20209989318785,0.6762201212211747,42.41003500155837,High,2025-12-30T09:09:45.419179
location_1,chickpea,145.27729834271994,28.52822705507959,40.879521321984896,6.96504988358277,90.06534867930233,61.94321672766057,75.71903916745948,0.4923167328584298,49.46364587524471,Low,2025-12-30T09:09:45.419179
location_2,rice,198.24258345820232,27.933301555300957,31.530784720004135,6.074294245510422,97.52917283718267,50.22409859314166,74.6775530939918,0.561445297084769,64.21473541464113,Low,2025-12-30T09:09:45.419179
location_2,maize,165.3454926348037,31.68278565577101,42.75457435024255,7.189107436092098,43.46885909749784,36.27292996585426,90.53461762915177,0.37985859773326075,35.988873650640535,Low,2025-12-30T09:09:45.419179
location_2,wheat,169.34964679515545,31.18302170033242,85.16760544742428,6.4044279236969865,59.4720810069974,49.56356861283349,60.488020843092826,0.46231125286943886,31.970124416654535,High,2025-12-30T09:09:45.419179
location_2,cotton,124.12958661309395,19.45249312703711,63.31180391813994,6.112592967542585,63.05232600824357,48.28532351945246,72.18737815172031,0.8167472261572828,56.64837323549766,Medium,2025-12-30T09:09:45.419179
location_2,chickpea,89.00226722203453,19.54264329607132,48.374821364601644,5.8508101314156375,58.853050162568195,38.80314535860571,63.91185729252714,0.4739563407473733,37.04488700007799,Low,2025-12-30T09:09:45.419179
location_3,rice,171.54074161291337,16.420733558112797,64.22725220624031,6.46989084653846,70.57363611016939,42.2443060093825,98.9027195579913,0.3923848459816135,69.63135978536491,Low,2025-12-30T09:09:45.419179
location_3,maize,186.32230359191973,23.53414860518258,87.10579353441054,7.298776390334255,44.94878544209986,78.60147406565895,73.68228433609823,0.5205222831049117,72.47993585099691,Low,2025-12-30T09:09:45.419179
location_3,wheat,204.24291996107368,29.844046728727566,76.8237439161392,7.045261355997752,81.80462868880619,51.80942322310293,90.1221125815984,0.7035127380190456,61.098118891448664,Low,2025-12-30T09:09:45.419179
location_3,cotton,217.4496297709603,31.930157679524484,74.09793456698091,5.813477698738869,98.04168250682204,68.82531052859719,55.953137042952164,0.5765367003136417,68.8428613163561,Medium,2025-12-30T09:09:45.419179
location_3,chickpea,194.01367927485688,24.58235645329397,51.20825885879066,6.719546279017128,48.273081111583295,71.18301212981265,75.2476364048191,0.4804769832644015,31.475617639103216,Medium,2025-12-30T09:09:45.419179
location_4,rice,171.62421170369743,34.695904517736224,85.31568457381937,6.040650008681161,61.92683886315716,63.31042954649108,54.01046262247929,0.7916414061651922,74.03677501439489,Medium,2025-12-30T09:09:45.419179
location_4,maize,219.81722277401542,29.824371968710768,85.03575304827535,6.067550021988307,82.68314389220842,74.93423289874629,61.701047421454675,0.3427380443969566,46.39625412432472,Low,2025-12-30T09:09:45.419179
location_4,wheat,156.44525380152012,15.33053528984123,30.16156031527376,7.472186733061772,42.96153534340873,42.35079281323577,71.60245183739433,0.9306188086500515,34.73221350099237,Medium,2025-12-30T09:09:45.419179
location_4,cotton,108.74065143029947,16.286504290322256,89.3606893238751,7.2695820397020405,45.28436979188533,63.507121088365245,42.95975738980118,0.873915920581499,37.58069187118495,High,2025-12-30T09:09:45.419179
location_4,chickpea,154.71134562034968,37.175064028014916,57.11855913516554,6.96247725830584,94.59144003776231,43.47558928575013,49.2629222694878,0.631404685046571,39.38601883040417,High,2025-12-30T09:09:45.420179
