irrigation_score,irrigation_level,inputs.rainfall,inputs.temperature,inputs.humidity,irrigation_level_numeric
80.0,High,142.32805620144742,38.02217711887478,32.89000300910915,3
20.0,Low,249.5775959972331,32.05418778335191,83.49943389491771,1
55.91,Medium,57.570732752929146,16.606451554358326,39.36966454752768,2
50.0,Medium,67.5859983305566,32.227582828916795,83.26786992760039,2
50.0,Medium,145.27729834271994,28.52822705507959,40.879521321984896,2
20.0,Low,198.24258345820232,27.933301555300957,31.530784720004135,1
50.0,Medium,165.3454926348037,31.68278565577101,42.75457435024255,2
20.0,Low,169.34964679515545,31.18302170033242,85.16760544742428,1
36.83,Low,124.12958661309395,19.45249312703711,63.31180391813994,1
50.0,Medium,89.00226722203453,19.54264329607132,48.374821364601644,2
20.0,Low,171.54074161291337,16.420733558112797,64.22725220624031,1
20.0,Low,186.32230359191973,23.53414860518258,87.10579353441054,1
28.45,Low,204.24291996107368,29.844046728727566,76.8237439161392,1
35.52,Low,217.4496297709603,31.930157679524484,74.09793456698091,1
20.0,Low,194.01367927485688,24.58235645329397,51.20825885879066,1
20.0,Low,171.62421170369743,34.695904517736224,85.31568457381937,1
20.0,Low,219.81722277401542,29.824371968710768,85.03575304827535,1
20.0,Low,156.44525380152012,15.33053528984123,30.16156031527376,1
34.51,Low,108.74065143029947,16.286504290322256,89.3606893238751,1
50.0,Medium,154.71134562034968,37.175064028014916,57.11855913516554,2
